,ID,Field,StarID,Type,Subtype,RA,DECL,ID_OGLE_II,ID_MACHO,ID_ASAS,ID_GCVS,ID_OTHER,I,V,P_1,dP_1,T0_1,A_1,R21_1,phi21_1,R31_1,phi31_1,P_2,dP_2,T0_2,A_2,R21_2,phi21_2,R31_2,phi31_2,P_3,dP_3,T0_3,A_3,R21_3,phi21_3,R31_3,phi31_3,Remarks
0,OGLE-BLG-LPV-048013,-99.99,-99.99,LPV,SRV,17.8148,-29.58414,BUL_SC44_61963,-99.99,-99.99,-99.99,      ,16.295,-99.99,68.25,-99.99,-99.99,0.17,-99.99,-99.99,-99.99,-99.99,1466.0,-99.99,-99.99,0.10400000000000001,-99.99,-99.99,-99.99,-99.99,63.48,-99.99,-99.99,0.065,-99.99,-99.99,-99.99,-99.99,
1,OGLE-BLG-LPV-048292,-99.99,-99.99,LPV,SRV,17.815410999999997,-29.599,BUL_SC44_61818,-99.99,-99.99,-99.99,      ,16.141,-99.99,146.71,-99.99,-99.99,0.111,-99.99,-99.99,-99.99,-99.99,167.48,-99.99,-99.99,0.11699999999999999,-99.99,-99.99,-99.99,-99.99,288.6,-99.99,-99.99,0.08199999999999999,-99.99,-99.99,-99.99,-99.99,
2,OGLE-BLG-LPV-048338,-99.99,-99.99,LPV,Mira,17.815497,-29.59931,BUL_SC44_61772,-99.99,-99.99,-99.99,      ,15.309000000000001,-99.99,245.9,-99.99,-99.99,1.517,-99.99,-99.99,-99.99,-99.99,360.1,-99.99,-99.99,0.466,-99.99,-99.99,-99.99,-99.99,582.4,-99.99,-99.99,0.154,-99.99,-99.99,-99.99,-99.99,
3,OGLE-BLG-LPV-048414,-99.99,-99.99,LPV,OSARG,17.815658,-29.594309999999997,BUL_SC44_61938,-99.99,-99.99,-99.99,      ,16.272000000000002,-99.99,490.4,-99.99,-99.99,0.332,-99.99,-99.99,-99.99,-99.99,51.32,-99.99,-99.99,0.048,-99.99,-99.99,-99.99,-99.99,77.88,-99.99,-99.99,0.057,-99.99,-99.99,-99.99,-99.99,
4,OGLE-BLG-LPV-049039,-99.99,-99.99,LPV,OSARG,17.816983,-29.615779999999997,BUL_SC44_61803,-99.99,-99.99,-99.99,      ,15.794,-99.99,37.211999999999996,-99.99,-99.99,0.033,-99.99,-99.99,-99.99,-99.99,50.84,-99.99,-99.99,0.052000000000000005,-99.99,-99.99,-99.99,-99.99,28.738000000000003,-99.99,-99.99,0.032,-99.99,-99.99,-99.99,-99.99,
5,OGLE-BLG-LPV-049059,-99.99,-99.99,LPV,OSARG,17.817033,-29.586890000000004,BUL_SC44_61842,-99.99,-99.99,-99.99,      ,15.933,-99.99,75.76,-99.99,-99.99,0.018000000000000002,-99.99,-99.99,-99.99,-99.99,45.325,-99.99,-99.99,0.043,-99.99,-99.99,-99.99,-99.99,84.14,-99.99,-99.99,0.037000000000000005,-99.99,-99.99,-99.99,-99.99,
6,OGLE-BLG-LPV-049144,-99.99,-99.99,LPV,OSARG,17.817203,-29.60486,BUL_SC44_61905,-99.99,-99.99,-99.99,      ,16.276,-99.99,35.096,-99.99,-99.99,0.013999999999999999,-99.99,-99.99,-99.99,-99.99,193.31,-99.99,-99.99,0.022000000000000002,-99.99,-99.99,-99.99,-99.99,53.71,-99.99,-99.99,0.013999999999999999,-99.99,-99.99,-99.99,-99.99,
7,OGLE-BLG-LPV-049290,-99.99,-99.99,LPV,SRV,17.817497,-29.593690000000002,BUL_SC44_61824,-99.99,-99.99,-99.99,      ,16.301,-99.99,143.2,-99.99,-99.99,0.27,-99.99,-99.99,-99.99,-99.99,80.37,-99.99,-99.99,0.153,-99.99,-99.99,-99.99,-99.99,74.57,-99.99,-99.99,0.086,-99.99,-99.99,-99.99,-99.99,
8,OGLE-BLG-LPV-049968,-99.99,-99.99,LPV,OSARG,17.818914000000003,-29.622640000000004,BUL_SC44_138697,-99.99,-99.99,-99.99,      ,15.51,-99.99,28.694000000000003,-99.99,-99.99,0.02,-99.99,-99.99,-99.99,-99.99,25.534000000000002,-99.99,-99.99,0.040999999999999995,-99.99,-99.99,-99.99,-99.99,63.92,-99.99,-99.99,0.027000000000000003,-99.99,-99.99,-99.99,-99.99,
9,OGLE-BLG-LPV-050179,-99.99,-99.99,LPV,OSARG,17.819306,-29.612,BUL_SC44_138799,-99.99,-99.99,-99.99,      ,16.789,-99.99,34.438,-99.99,-99.99,0.054000000000000006,-99.99,-99.99,-99.99,-99.99,210.0,-99.99,-99.99,0.08800000000000001,-99.99,-99.99,-99.99,-99.99,46.217,-99.99,-99.99,0.046,-99.99,-99.99,-99.99,-99.99,
10,OGLE-BLG-LPV-050306,-99.99,-99.99,LPV,Mira,17.81955,-29.58792,BUL_SC44_138673,-99.99,-99.99,-99.99,      ,16.269000000000002,-99.99,363.7,-99.99,-99.99,1.767,-99.99,-99.99,-99.99,-99.99,133.33,-99.99,-99.99,0.142,-99.99,-99.99,-99.99,-99.99,114.44,-99.99,-99.99,0.128,-99.99,-99.99,-99.99,-99.99,
11,OGLE-BLG-LPV-050367,-99.99,-99.99,LPV,OSARG,17.819653,-29.604640000000003,BUL_SC44_138665,-99.99,-99.99,-99.99,      ,14.741,-99.99,18.707,-99.99,-99.99,0.016,-99.99,-99.99,-99.99,-99.99,42.75899999999999,-99.99,-99.99,0.012,-99.99,-99.99,-99.99,-99.99,261.6,-99.99,-99.99,0.016,-99.99,-99.99,-99.99,-99.99,
12,OGLE-BLG-RRLYR-03350,-99.99,-99.99,RRLyr,RRab,17.819858,-29.61644,BUL_SC44_141588,-99.99,-99.99,-99.99,-99.99,19.616,-99.99,0.5148335,4.02e-06,5000.18458,0.675,0.556,4.0969999999999995,0.375,2.247,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,
13,OGLE-BLG-LPV-050487,-99.99,-99.99,LPV,OSARG,17.819906,-29.62092,BUL_SC44_138771,-99.99,-99.99,-99.99,      ,16.099,-99.99,51.65,-99.99,-99.99,0.026000000000000002,-99.99,-99.99,-99.99,-99.99,37.406,-99.99,-99.99,0.07,-99.99,-99.99,-99.99,-99.99,74.75,-99.99,-99.99,0.046,-99.99,-99.99,-99.99,-99.99,
14,OGLE-BLG-LPV-050560,-99.99,-99.99,LPV,OSARG,17.820035999999998,-29.619220000000002,BUL_SC44_138701,-99.99,-99.99,-99.99,      ,16.024,21.435,15.677999999999999,-99.99,-99.99,0.008,-99.99,-99.99,-99.99,-99.99,129.5,-99.99,-99.99,0.013000000000000001,-99.99,-99.99,-99.99,-99.99,29.028000000000002,-99.99,-99.99,0.008,-99.99,-99.99,-99.99,-99.99,
